Rk,Player,Nation,Pos,Team,Comp,Age,90s,Min,Ht.,Wt.,Ast,Blocks,Carries,Clr,Cmp%,CS,CS%,Dis,Err,G+A,G-PK,GA,Gls,Int,KP,Mis,npxG,PKA,PKsv,PPA,PrgC,PrgP,PrgR,Recov,Save%,Saves,Tkl,Tkl+Int,TklW,Touches,xAG,xG
1,Martín Zubimendi,ESP,MF,Arsenal,Premier League,26,10.4,937,1.8,77.0,1,13,446,19,88.7,,,3,1,3,2,,2,12,9,11,0.5,,,9,11,65,10,34,,,21,33,11,801,0.8,0.5
2,Igor Zubeldia,ESP,DF,Real Sociedad,La Liga,28,12.0,1080,1.85,78.0,0,10,422,82,86.0,,,1,1,0,0,,0,13,4,4,0.2,,,0,4,42,0,35,,,16,29,7,748,0.3,0.2
3,Yanis Zouaoui,ALG,DF,Le Havre,Ligue 1,31,9.7,873,1.83,72.0,1,5,325,23,70.9,,,9,0,1,0,,0,11,10,12,0.3,,,7,22,36,25,42,,,13,24,9,633,0.6,0.3
4,Nadir Zortea,ITA,DF,Bologna,Serie A,26,4.6,411,1.75,70.0,0,5,150,8,80.4,,,6,0,0,0,,0,4,6,3,0.1,,,6,10,22,14,15,,,6,10,5,293,0.6,0.1
5,Alessio Zerbin,ITA,DFMF,Cremonese,Serie A,26,5.8,520,1.82,80.0,1,5,130,10,72.4,,,5,0,1,0,,0,0,3,11,0.4,,,4,14,18,25,23,,,18,18,8,268,0.7,0.4
6,Aaron Zehnter,GER,DF,Wolfsburg,Bundesliga,20,6.0,539,1.8,69.0,0,7,177,16,78.2,,,0,0,1,1,,1,10,6,3,0.3,,,2,9,9,18,26,,,3,13,2,343,0.4,0.3
7,Bryan Zaragoza,ESP,FWMF,Celta Vigo,La Liga,23,5.7,515,ND,ND,0,2,184,4,67.2,,,3,1,0,0,,0,1,7,16,0.7,,,9,35,14,64,17,,,8,9,5,281,0.8,0.7
8,Davide Zappacosta,ITA,DF,Atalanta,Serie A,33,7.2,648,1.82,70.0,1,5,261,11,83.3,,,4,0,1,0,,0,8,10,4,0.4,,,7,17,31,62,29,,,3,11,2,450,1.0,0.4
9,Gabriele Zappa,ITA,DF,Cagliari,Serie A,25,6.7,603,1.87,77.0,0,7,245,25,83.9,,,1,0,0,0,,0,7,2,7,0.1,,,3,9,33,10,19,,,9,16,6,458,0.2,0.1
10,Alessandro Zanoli,ITA,DF,2 Teams,Serie A,24,5.9,535,1.88,76.0,1,10,139,16,79.3,,,1,0,1,0,,0,0,7,8,0.0,,,6,14,4,30,19,,,11,11,8,291,0.5,0.0
11,Nicolò Zaniolo,ITA,FW,Udinese,Serie A,26,6.1,552,1.9,83.0,0,3,138,0,73.0,,,10,0,3,3,,3,3,8,29,1.9,,,4,12,18,21,21,,,6,9,5,242,0.4,1.9
12,Andre-Frank Zambo Anguissa,CMR,MF,Napoli,Serie A,29,10.4,933,1.84,79.0,1,8,345,12,82.8,,,15,1,5,4,,4,10,10,19,2.3,,,10,10,40,43,53,,,15,25,12,623,1.3,2.3
13,Nicola Zalewski,POL,DF,Atalanta,Serie A,23,4.7,421,1.64,64.0,1,2,146,12,66.4,,,4,0,2,1,,1,3,4,6,0.3,,,5,18,14,23,32,,,9,12,6,281,0.5,0.3
